Município,Eficiência CRS,Eficiência VRS,COD_MUN,Escala de Eficiência,gasto_per_capita,ideb_2019
Prefeitura Municipal de TimbÈ do Sul - SC,0.11105254719999999,0.14278185,4218103,0.7777777581674421,574.8300354874859,5.6
Prefeitura Municipal de ItaiÛpolis - SC,0.1107411284,0.13747174,4208104,0.8055555883703807,597.0339130636481,5.8
Prefeitura Municipal de Sombrio - SC,0.1091616782,0.13551105,4217709,0.805555548422066,605.6723462179274,5.8
Prefeitura Municipal de BraÁo do Trombudo - SC,0.1091288846,0.12673032,4202859,0.8611110948035167,647.6373937600861,6.2
Prefeitura Municipal de Campo Alegre - SC,0.1089495528,0.11885405,4203303,0.916666725281974,690.5552689159846,6.6
Prefeitura Municipal de Pedras Grandes - SC,0.1087757978,0.1283911,4212403,0.8472222591752855,639.2599775,6.1
Prefeitura Municipal de Monte Castelo - SC,0.1085786448,0.13478728,4211108,0.8055555746803407,608.9246086956522,5.8
Prefeitura Municipal de Witmarsum - SC,0.108444948,0.13013393,4219408,0.8333333820011429,630.6986215666327,6.0
Prefeitura Municipal de Turvo - SC,0.107726193,0.14363493,4218806,0.7499999686705734,571.415990941746,5.4
Prefeitura Municipal de Major Gercino - SC,0.10741286430000001,0.12275756,4210209,0.8749999942977036,668.5966413994169,6.3
Prefeitura Municipal de Campos Novos - SC,0.10740974080000001,0.12083596,4203600,0.8888888771190299,679.2290687447816,6.4
Prefeitura Municipal de Major Vieira - SC,0.10702184960000001,0.12039958,4210308,0.888888894795148,681.6908598409543,6.4
Prefeitura Municipal de S„o Ludgero - SC,0.1069211154,0.11664122,4217006,0.9166666415183243,703.656004557539,6.6
Prefeitura Municipal de Irani - SC,0.106203828,0.12744459,4207809,0.8333333568729752,644.007643872715,6.0
Prefeitura Municipal de Catanduvas - SC,0.10559418800000002,0.1288607,4204004,0.8194444698810422,636.9303465300419,5.9
Prefeitura Municipal de Sul Brasil - SC,0.10507331780000001,0.21930400999999922,4217758,0.4791217351657199,802.821908,7.4
Prefeitura Municipal de LindÛia do Sul - SC,0.10468857729999999,0.16237428099999995,4209854,0.6447362024038771,794.8835283842795,7.3
Prefeitura Municipal de Planalto Alegre - SC,0.104125098,0.1071001,4213153,0.9722222294843795,766.3418912280703,7.0
Prefeitura Municipal de Campo ErÍ - SC,0.10392902100000001,0.11877603,4203501,0.8749999557991626,691.0089219546086,6.3
Prefeitura Municipal de Presidente Get˙lio - SC,0.1036499286,0.13092623,4214003,0.7916666400613536,626.8819907057799,5.7
Prefeitura Municipal de Barra Velha - SC,0.103467163,0.12212517,4202107,0.8472222638461834,672.0587622527493,6.1
Prefeitura Municipal de TrÍs Barras - SC,0.103413363,0.14599533,4218301,0.7083333624438535,562.1775087316895,5.1
Prefeitura Municipal de ItajaÌ - SC,0.10330763519999998,0.11269924,4208203,0.9166666536526775,728.2683936635865,6.6
Prefeitura Municipal de Balne·rio Gaivota - SC,0.1021056512,0.1312787,4202073,0.7777777445998475,625.1988739244296,5.6
Prefeitura Municipal de Lebon RÈgis - SC,0.101762226,0.13824303,4209706,0.7361110791625445,593.7029580957104,5.3
Prefeitura Municipal de Treviso - SC,0.1013546176,0.11402394,4218350,0.8888889263079315,719.8075353379594,6.4
Prefeitura Municipal de Xavantina - SC,0.1008542476,0.10678685,4219606,0.9444444479821251,768.5899091597275,6.8
Prefeitura Municipal de Guaruj· do Sul - SC,0.1007528155,0.11892136,4206603,0.8472221937253324,690.1644582765999,6.1
Prefeitura Municipal de Serra Alta - SC,0.1002775735,0.1110767,4217550,0.9027777517697231,738.9065015290519,6.5
Prefeitura Municipal de Petrol‚ndia - SC,0.09999664729999999,0.11802883,4212700,0.847222219350984,695.3834165131468,6.1
Prefeitura Municipal de Navegantes - SC,0.099671772,0.11960613,4211306,0.8333333082510069,686.2131275777259,6.0
Prefeitura Municipal de Santa CecÌlia - SC,0.0993644106,0.13498561,4215505,0.7361111351054382,608.0299348903889,5.3
Prefeitura Municipal de Iraceminha - SC,0.098554105,0.14191791,4207759,0.6944444503163836,578.3293474470735,5.0
Prefeitura Municipal de Xaxim - SC,0.0983166786,0.11236192,4219705,0.8749999875402628,730.4547188995215,6.3
Prefeitura Municipal de Salto Veloso - SC,0.0981793341,0.102448,4215406,0.9583333408168047,801.1409807692307,6.9
Prefeitura Municipal de Treze TÌlias - SC,0.09693934530000001,0.10417362,4218509,0.9305555984326935,787.8702042409262,6.7
Prefeitura Municipal de Vitor Meireles - SC,0.0962606988,0.11001223,4219358,0.8749999777297488,746.0561049062625,6.3
Prefeitura Municipal de Saltinho - SC,0.09548668639999999,0.1481019269999999,4215356,0.6447362862469713,871.4851207983193,7.3
Prefeitura Municipal de Belmonte - SC,0.09501408039999999,0.11794852,4202156,0.8055555118453372,695.8569330373659,5.8
Prefeitura Municipal de Maracaj· - SC,0.0946682505,0.11958095,4210407,0.7916666534259846,686.3575940058277,5.7
Prefeitura Municipal de Praia Grande - SC,0.0940671608,0.11677302,4213807,0.8055556052245629,702.8617622167621,5.8
Prefeitura Municipal de Vidal Ramos - SC,0.0932511799,0.094564576,4219200,0.986111119453441,867.9285268630849,7.1
Prefeitura Municipal de Ipumirim - SC,0.0923704892,0.10726896,4207700,0.8611110725786845,765.1355452742895,6.2
Prefeitura Municipal de Jaguaruna - SC,0.0921952656,0.11645718,4208807,0.7916666503516573,704.7680197418375,5.7
Prefeitura Municipal de IbicarÈ - SC,0.09213742720000001,0.1036546,4206801,0.8888889369116277,791.8152184691664,6.4
Prefeitura Municipal de Leoberto Leal - SC,0.09197958319999999,0.098843735,4209805,0.9305555197807933,830.3540285436264,6.7
Prefeitura Municipal de LacerdÛpolis - SC,0.091410993,0.095385386,4209201,0.9583333132394096,860.4598307349667,6.9
Prefeitura Municipal de Anit·polis - SC,0.0912971388,0.11333438,4201109,0.8055555498693335,724.1870859085291,5.8
Prefeitura Municipal de Penha - SC,0.0909634989,0.10736675,4212502,0.8472222443167926,764.4386314695882,6.1
Prefeitura Municipal de Tijucas - SC,0.0908837475,0.11090898,4218004,0.8194444444444444,740.023897197503,5.9
Prefeitura Municipal de Capinzal - SC,0.0900173073,0.096735016,4203907,0.9305555632512638,848.454845529173,6.7
Prefeitura Municipal de S„o LourenÁo do Oeste - SC,0.089747609,0.092311824,4216909,0.9722222474988687,889.1092149054784,7.0
Prefeitura Municipal de Santa Rosa do Sul - SC,0.0896859216,0.12183748,4215653,0.7361111014443175,673.6456944111297,5.3
Prefeitura Municipal de Balne·rio Barra do Sul - SC,0.0892197102,0.10530851,4202057,0.8472222254402801,779.379517535545,6.1
Prefeitura Municipal de ImaruÌ - SC,0.08893325939999999,0.12555284,4207205,0.7083333152798454,653.7111834204919,5.1
Prefeitura Municipal de Santa Helena - SC,0.0882927695,0.09780122,4215554,0.9027777925469642,839.2052113929684,6.5
Prefeitura Municipal de Urubici - SC,0.0880438888,0.11319929,4218905,0.7777777475459431,725.0513246985262,5.6
Prefeitura Municipal de Api˙na - SC,0.0870042176,0.097879744,4201257,0.8888888961540398,838.5319565626176,6.4
Prefeitura Municipal de S„o Jo„o do Sul - SC,0.086936502,0.1043238,4216404,0.8333333525044142,786.7360041208792,6.0
